,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tannealing
5811,0.5161483851614839,0.0976902309769023,0.0316968303169683,0.0,0.0581941805819418,0.2486751324867513,0.0,0.0,0.0,0.0465953404659534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.1499389648436
5812,0.609,0.0,0.153,0.03,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,955.15
5813,0.622,0.0,0.0193,0.0,0.0828,0.1345,0.0,0.0,0.0,0.0,0.0828,0.0,0.0,0.0,0.0,0.0394,0.0,0.0192,0.0,0.0,1019.15
5814,0.6573000000000001,0.0047,0.1147,0.0484,0.0,0.0,0.0,0.1582,0.0144999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.15
5815,0.6509999999999999,0.096,0.111,0.013,0.095,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.15
5816,0.0,0.675,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,889.454443359375
5817,0.533053305330533,0.0,0.2095209520952095,0.2048204820482048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526052605260526,0.0,0.0,0.0,0.0,1064.280676269531
5818,0.599,0.0,0.0392,0.0,0.0841,0.1471,0.0,0.0,0.0,0.0,0.0841,0.0,0.0,0.0,0.0,0.04,0.0,0.0065,0.0,0.0,1000.15
5819,0.7907,0.0904,0.0401,0.0,0.0112,0.0,0.0,0.0609,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.15
5820,0.7,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.329931640625
