,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
5034,0.6604,0.0,0.0813,0.0,0.0299999999999999,0.0,0.1000999999999999,0.1000999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0280999999999999,0.0,0.0,84.5
5035,0.66,0.0,0.11,0.0,0.0,0.0,0.128,0.055,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,81.69999694824219
5036,0.6557344265573442,0.0575942405759423,0.1244875512448754,0.0496950304969502,0.0833916608339166,0.0217978202179782,0.0,0.0,0.0,0.0,0.0063993600639935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.99999999999999
5037,0.5993,0.0,0.1598,0.0733,0.0078,0.0,0.0,0.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7
5038,0.67,0.0,0.12,0.08,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
5039,0.5002000000000001,0.0,0.1517,0.0,0.0483,0.0,0.0,0.1512,0.1486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5
5040,0.6440000000000001,0.0,0.064,0.061,0.0,0.0,0.063,0.008,0.0,0.02,0.101,0.0,0.0,0.0,0.0,0.033,0.0,0.006,0.0,0.0,89.0
5041,0.45,0.0,0.0,0.0,0.25,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,80.00000000000004
5042,0.7337513625953818,0.154610822757593,0.0145010150710549,0.0,0.0,0.0,0.0,0.0,0.075805306371446,0.020501435100457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.59999847412109
5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,44.79999923706056
5044,0.7411,0.0526,0.02,0.0,0.0,0.0,0.0,0.0,0.1325,0.0,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2474
5045,0.3721372137213721,0.4427442744274427,0.0408040804080408,0.0,0.0514051405140514,0.0,0.0,0.0312031203120312,0.0119011901190119,0.0192019201920192,0.0,0.0306030603060306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.59999847412108
5046,0.7368263173682631,0.0988901109889011,0.0,0.0,0.0,0.0127987201279872,0.0,0.1074892510748925,0.0427957204279572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.69999694824219
5047,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.02,0.0,0.0,0.0,0.68,0.0,50.59999847412109
5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,42.09999847412109
5049,0.66,0.12,0.135,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,75.0999984741211
5050,0.66,0.2,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.09999847412109
5051,0.6388,0.0,0.1348,0.0308,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231,0.0,69.4000015258789
5052,0.25,0.35,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
5053,0.6,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
5054,0.7958,0.1355,0.0123,0.0,0.0,0.0,0.0,0.0406,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
5055,0.0,0.0,0.0,0.0,0.0,0.1142,0.0,0.0,0.0,0.0,0.0,0.3923,0.0,0.0,0.0,0.0,0.0,0.0,0.4935,0.0,47.09999847412109
5056,0.7273000000000001,0.0,0.1075,0.0,0.1033,0.0405,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
5057,0.65,0.0,0.12,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.19999694824219
5058,0.4761999999999999,0.2380999999999999,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.55
5059,0.6521347865213479,0.0434956504349565,0.086991300869913,0.0,0.0,0.0,0.0,0.086991300869913,0.0,0.0,0.0,0.1303869613038696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.80000305175781
5060,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.400001525878906
5061,0.63,0.0,0.05,0.0,0.0,0.0,0.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.49999999999999
5062,0.4614,0.0,0.0,0.0,0.2691,0.0,0.0,0.2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,76.99999999999999
5063,0.61,0.0,0.09,0.0,0.0,0.0,0.21,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0999984741211
5064,0.5491,0.0,0.1464,0.0,0.0,0.0,0.0,0.0512,0.0496,0.0,0.2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
5065,0.6,0.08,0.08,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9000015258789
5066,0.75,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.30000305175784
5067,0.6393278655731147,0.009001800360072,0.0489097819563912,0.0309061812362472,0.0111022204440888,0.0,0.1043208641728345,0.0604120824164833,0.0066013202640528,0.0,0.0,0.0,0.0,0.0,0.0,0.0546109221844368,0.0,0.0202040408081616,0.0132026405281056,0.0,86.5
5068,0.64,0.0,0.12,0.04,0.0,0.0,0.144,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,85.30000305175781
5069,0.6746,0.0,0.0306,0.0866,0.0867,0.0,0.0,0.0402,0.0702,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,75.0
5070,0.458945894589459,0.0,0.0,0.0,0.2677267726772677,0.0,0.0,0.2421242124212421,0.0,0.0,0.0,0.0,0.0053005300530053,0.0,0.0,0.0,0.0,0.0,0.0259025902590259,0.0,81.9000015258789
5071,0.562,0.218,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9000015258789
5072,0.45,0.2,0.1,0.1,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8000030517578
5073,0.7005999999999999,0.0524999999999999,0.1245999999999999,0.0164999999999999,0.0829999999999999,0.0087,0.0,0.0,0.0,0.0,0.0127999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
