,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tliq
18135,0.7709,0.0,0.1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.15
18136,0.7782778277827781,0.0981098109810981,0.0304030403040304,0.0,0.0166016601660166,0.0,0.0,0.0701070107010701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.15
18137,0.0825999999999999,0.5593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.0,0.0,0.0,0.0718,0.1757,0.0,0.0,0.0732,0.0,0.0,1373.15
18138,0.6,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.15
18139,0.6652334766523348,0.0036996300369963,0.1138886111388861,0.0482951704829517,0.0,0.0,0.0,0.1528847115288471,0.0137986201379862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.15
18140,0.7,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.15
18141,0.6996,0.0,0.106,0.1341,0.0,0.0,0.0603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542.5500244140626
18142,0.819081908190819,0.0,0.0119011901190119,0.0,0.0,0.0,0.0,0.1690169016901689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.15
18143,0.508,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663.15
18144,0.4808999999999999,0.0,0.1028999999999999,0.1947999999999999,0.2213999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.15
18145,0.6962999999999999,0.0,0.1444,0.153,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696.15
18146,0.633,0.092,0.114,0.071,0.047,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.15
18147,0.7254,0.0,0.1373,0.0,0.0246,0.0,0.0,0.0391,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.15
18148,0.7412741274127412,0.0,0.1722172217221722,0.0,0.0,0.0,0.0,0.0,0.0865086508650865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.15
18149,0.6286,0.0465,0.1069,0.0917,0.0917999999999999,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.15
18150,0.5,0.0,0.0,0.0,0.256,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.15
