,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,Tmelt
241,0.5361463853614639,0.0,0.0984901509849015,0.0687931206879312,0.2965703429657034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.1584228515626
242,0.0,0.6633,0.0,0.0,0.0,0.0,0.3317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.15
243,0.6356999999999999,0.0,0.1189999999999999,0.1197999999999999,0.1092999999999999,0.0,0.0,0.0099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851.1503662109376
244,0.698,0.0,0.01,0.0,0.09,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.15
245,0.6254,0.0642,0.0936,0.0252,0.1098,0.03,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,1807.15
246,0.7204,0.0,0.0403,0.0493,0.0,0.0401999999999999,0.0,0.0496999999999999,0.0851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,1962.1496337890624
247,0.5323,0.0,0.1255,0.0,0.3422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.7087158203126
248,0.6969,0.0,0.0,0.0636,0.0642,0.0,0.0,0.1566,0.0,0.0,0.0,0.0,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,1666.7841552734376
249,0.6498999999999999,0.0,0.078,0.0876,0.0045,0.0,0.0,0.1507,0.0,0.0,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.15
250,0.4699,0.2016,0.1624,0.0258,0.0997,0.0098,0.0,0.0,0.0,0.0,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1725.15
251,0.7095709570957095,0.0153015301530153,0.075007500750075,0.171117111711171,0.0,0.029002900290029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.150732421875
252,0.4897999999999999,0.0,0.1603,0.0,0.3499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.85556640625
