,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tsoft
5874,0.6604000000000001,0.0,0.0,0.0,0.0,0.0822,0.2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098999999999999,0.0,758.15
5875,0.5129512951295131,0.0,0.1071107110711071,0.1456145614561456,0.1202120212021202,0.0,0.0,0.0348034803480348,0.0057005700570057,0.0,0.0,0.0,0.0524052405240524,0.0,0.0,0.016001600160016,0.0,0.0,0.0033003300330033,0.0,943.15
5876,0.4993,0.1192,0.0,0.0,0.0,0.0,0.0213,0.2472,0.0338,0.0392,0.0,0.0,0.0,0.0,0.0,0.0399,0.0,0.0,0.0,0.0,813.15
5877,0.5175,0.1914,0.0436,0.0,0.0,0.1737999999999999,0.0,0.0,0.0,0.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.15
5878,0.816,0.166,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.15
5879,0.7286,0.0,0.0058,0.0530999999999999,0.0550999999999999,0.0,0.0,0.1535,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.15
5880,0.7595999999999999,0.0,0.0,0.0,0.1003,0.0,0.0,0.0605,0.0796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.15
5881,0.527,0.0569,0.0388,0.0588999999999999,0.0409,0.1353,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0395999999999999,0.0,0.0192999999999999,0.0,0.0,1103.15
5882,0.3746,0.1205,0.0260999999999999,0.0,0.0,0.0,0.0,0.0,0.0311,0.0229,0.0,0.4247999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.15
5883,0.7162999999999999,0.0,0.1144999999999999,0.0,0.0126,0.0,0.0,0.1345,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.15
5884,0.7506,0.0177,0.0,0.0,0.066,0.0161,0.0,0.1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.15
5885,0.7270000000000001,0.0,0.1018,0.0,0.0894,0.0817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.15
5886,0.1586999999999999,0.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.15
5887,0.604,0.156,0.06,0.0,0.13,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1129.15
5888,0.0483951604839516,0.1690830916908309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358964103589641,0.0,0.4193580641935807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.1499999999999
5889,0.61,0.0,0.15,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1242.15
5890,0.3089308930893089,0.0889088908890889,0.0303030303030302,0.1228122812281228,0.1434143414341434,0.0403040304030403,0.0828082808280828,0.1497149714971497,0.0328032803280328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.15
5891,0.6798067980679807,0.09040090400904,0.1005010050100501,0.0,0.07760077600776,0.0,0.0,0.0,0.0,0.00820008200082,0.04260042600426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.15
5892,0.08,0.28,0.0,0.0,0.0,0.05,0.02,0.04,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,834.15
5893,0.4659,0.1005,0.0,0.0,0.0,0.026,0.0,0.1129,0.0849,0.0,0.0,0.2016,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,778.15
5894,0.7719,0.0,0.0725,0.0,0.0,0.0,0.0,0.0530999999999999,0.0684999999999999,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,1223.15
5895,0.53,0.05,0.04,0.0,0.09,0.15,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,1121.15
5896,0.6225,0.107,0.1121,0.0521,0.0462,0.0,0.0,0.0412999999999999,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.15
5897,0.6194380561943805,0.0,0.1216878312168783,0.0,0.1720827917208279,0.035996400359964,0.0,0.0,0.0,0.0507949205079492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.15
5898,0.6023,0.0599,0.1499,0.02,0.0,0.0,0.0,0.1199,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,1168.15
5899,0.5529999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.4411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.15
5900,0.2395,0.2928,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0737,0.0,0.3223,0.0,0.0,0.0,0.015,0.0,0.0097,0.0,0.0,793.15
5901,0.405,0.0,0.049,0.148,0.3,0.01,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1108.15
5902,0.0,0.82,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.15
5903,0.4588,0.0565,0.0868999999999999,0.0073,0.0,0.3513,0.0,0.0,0.0,0.006,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.15
5904,0.6651,0.0047,0.1146,0.0483,0.0,0.0,0.0,0.1518,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.15
5905,0.4,0.05,0.03,0.0,0.135,0.0,0.0,0.0,0.0,0.135,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.15
5906,0.45,0.415,0.0,0.0,0.0,0.0,0.0,0.02,0.065,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,879.15
5907,0.7115999999999999,0.0544999999999999,0.0911999999999999,0.0,0.0049999999999999,0.0,0.0,0.0991,0.0167999999999999,0.0197999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.15
5908,0.6713,0.0969999999999999,0.0681,0.0,0.0,0.0,0.0938,0.0616,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.15
5909,0.1075107510751075,0.1856185618561855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2381238123812381,0.0,0.4644464446444644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.15
5910,0.048995100489951,0.3927607239276072,0.048995100489951,0.0,0.0,0.0,0.0,0.0,0.0,0.097990200979902,0.0,0.3917608239176082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.15
5911,0.25,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.1167,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.15
5912,0.1925,0.299,0.0643,0.0,0.0276,0.0,0.0294,0.0807,0.0078,0.2886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.15
5913,0.652,0.0279999999999999,0.118,0.076,0.06,0.021,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,1242.15
5914,0.5785999999999999,0.0653,0.0891999999999999,0.0483999999999999,0.0,0.0,0.0,0.1886999999999999,0.0275999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.15
5915,0.4927507249275073,0.1822817718228177,0.0414958504149585,0.0,0.0753924607539246,0.1378862113788621,0.0,0.0,0.0,0.051994800519948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.15
5916,0.18,0.29,0.05,0.0,0.0,0.0,0.065,0.065,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.15
