,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tmelt,F
3645,0.5500000240630494,0.0,6.013298438411297e-07,0.03408042620937919,0.04158913161765732,0.0,0.0,0.08360493718062985,0.25059613219453475,0.025477076097268087,0.0,0.0,0.0,0.0,0.0,0.014651671307637563,0.0,0.0,0.0,0.0,2596.5817033740977,58.32960148904593,729.0438232421875,1218.9315185546875,0.7164597260104238
3646,0.5500309450218078,0.0,8.152408454577074e-06,0.03417445825414866,0.04170388109473746,0.0,0.0,0.08383561338014733,0.25128755743014647,0.023239411996440966,0.0,0.0,0.0,0.0,0.0,0.015719980414116774,0.0,0.0,0.0,0.0,2593.628878874858,57.71052085155828,728.638427734375,1217.90185546875,0.716459638149065
3647,0.55,0.0,3.1657991358825344e-32,0.034134804827503584,0.04165549110190989,0.0,0.0,0.08373833694870572,0.25099598257470124,0.024073152430082005,0.0,0.0,0.0,0.0,0.0,0.015402232117097498,0.0,0.0,0.0,0.0,2594.7949742125766,57.922812186100465,728.8994140625,1218.256103515625,0.7164587098723011
3648,0.55,0.0,0.00025188481972845175,0.034180059913989105,0.041710716929681264,0.0,0.0,0.08384935518068092,0.2513287468883201,0.023573913861985884,0.0,0.0,0.0,0.0,0.0,0.015105322405614269,0.0,0.0,0.0,0.0,2593.8059189738287,57.957286521455295,728.4767456054688,1218.3135986328125,0.7164585853493058
3649,0.55,0.0,3.1502643318098055e-32,0.03413312320682413,0.041653438981336645,0.0,0.0,0.08373421165430935,0.25098361748174436,0.024112178413031846,0.0,0.0,0.0,0.0,0.0,0.01538343026275364,0.0,0.0,0.0,0.0,2594.8462651873433,57.93369283570631,728.9068603515625,1218.27490234375,0.7164581325722688
3650,0.5500001349042926,0.0,7.938570734865301e-05,0.03420350797972516,0.041739331146125776,0.0,0.0,0.08390687717441499,0.2515011624134312,0.022752432251941658,0.0,0.0,0.0,0.0,0.0,0.015817168422720063,0.0,0.0,0.0,0.0,2592.9177842691583,57.62134324240194,728.4573364257812,1217.7557373046875,0.7164578087714777
3651,0.5500000240630494,0.0,5.88837943315297e-07,0.03413058091106896,0.041650336559080445,0.0,0.0,0.08372797498122318,0.25096492377529744,0.02417334667531487,0.0,0.0,0.0,0.0,0.0,0.015352224197022398,0.0,0.0,0.0,0.0,2594.9251692232488,57.95121092563715,728.9170532226562,1218.304443359375,0.7164578013538431
3652,0.5500001349042926,0.0,8.493285604407604e-05,0.03419834756018017,0.0417330337669105,0.0,0.0,0.08389421780949874,0.2514632174308616,0.02286469227541457,0.0,0.0,0.0,0.0,0.0,0.01576142339679785,0.0,0.0,0.0,0.0,2593.066222074445,57.65419593851253,728.4887084960938,1217.811279296875,0.7164570705264032
3653,0.5500309450218078,0.0,8.158606429181428e-06,0.03413284476086319,0.04165309918729631,0.0,0.0,0.0837335285801914,0.2509815700460577,0.024165454332466644,0.0,0.0,0.0,0.0,0.0,0.015294399464887764,0.0,0.0,0.0,0.0,2594.859621468759,57.96347653566558,728.8493041992188,1218.3260498046875,0.7164568085534005
3654,0.55,0.0,6.318983919320312e-10,0.034276951243552414,0.04182895565806633,0.0,0.0,0.08408704567996397,0.2520411966764354,0.021303530889859017,0.0,0.0,0.0,0.0,0.0,0.01646231922022447,0.0,0.0,0.0,0.0,2590.954755259099,57.21152285263734,727.9117431640625,1217.0753173828125,0.7164567621384004
3655,0.5500006200809708,0.0,4.447173817476181e-06,0.03413799979204805,0.04165938999097122,0.0,0.0,0.08374617472656666,0.251019475407579,0.024005820009946,0.0,0.0,0.0,0.0,0.0,0.015426072818100713,0.0,0.0,0.0,0.0,2594.7016408454842,57.90697694123473,728.8827514648438,1218.23291015625,0.7164561151266305
3656,0.5505748606854673,0.0,1.28596537322556e-05,0.03422289791681871,0.041762993134414526,0.0,0.0,0.08395444390561381,0.25164373819019187,0.022756920843614973,0.0,0.0,0.0,0.0,0.0,0.015071285670146588,0.0,0.0,0.0,0.0,2592.1376770763536,57.757555832386856,727.435302734375,1217.984375,0.7164561071105497
3657,0.5500006200809708,0.0,4.476352620385615e-06,0.03418629928137918,0.041718330973883735,0.0,0.0,0.08386466138358722,0.25137462546171835,0.0229572351440862,0.0,0.0,0.0,0.0,0.0,0.015893751321754118,0.0,0.0,0.0,0.0,2593.2972272018715,57.62375848017701,728.6202392578125,1217.761962890625,0.716455988007618
3658,0.550087434593355,0.0,4.6275145379391774e-08,0.03427883357156524,0.04183125270643634,0.0,0.0,0.08409166334273319,0.2520550375866586,0.02134144086846817,0.0,0.0,0.0,0.0,0.0,0.016314291055638093,0.0,0.0,0.0,0.0,2590.8746036573702,57.24809589286379,727.7578735351562,1217.13916015625,0.7164542820411286
3659,0.55,0.0,2.955506486743918e-32,0.03417177672641489,0.04170060876448047,0.0,0.0,0.08382903514792828,0.25126783993969243,0.023246028478628188,0.0,0.0,0.0,0.0,0.0,0.015784710942855704,0.0,0.0,0.0,0.0,2593.6971484859923,57.696509222949864,728.7150268554688,1217.8856201171875,0.7164538072371663
3660,0.55,0.0,3.000342684618799e-32,0.03415965319740435,0.041685814141884145,0.0,0.0,0.08379929412077369,0.2511786946496681,0.023505437241408477,0.0,0.0,0.0,0.0,0.0,0.01567110664886119,0.0,0.0,0.0,0.0,2594.0467034981307,57.76612098409558,728.7836303710938,1218.001953125,0.7164533604584733
3661,0.55,0.0,3.19532370643592e-32,0.03413482444679598,0.04165551504378576,0.0,0.0,0.08373838507808352,0.25099612683694617,0.024066995654308535,0.0,0.0,0.0,0.0,0.0,0.015408152940079994,0.0,0.0,0.0,0.0,2594.789809705395,57.92051482351987,728.9032592773438,1218.2589111328125,0.7164532437285698
3662,0.55,0.0,3.1317608583975075e-32,0.034156824729411124,0.04168236249703311,0.0,0.0,0.08379235541973047,0.25115789669559363,0.0235669924504829,0.0,0.0,0.0,0.0,0.0,0.015643568207748735,0.0,0.0,0.0,0.0,2594.1280351415776,57.78279340488371,728.7989501953125,1218.0299072265625,0.7164531778624157
3663,0.5500000240630494,0.0,6.00354350486676e-07,0.03412056331676514,0.04163811185726969,0.0,0.0,0.08370340016113949,0.25089126359361413,0.024410835118688617,0.0,0.0,0.0,0.0,0.0,0.01523520153512308,0.0,0.0,0.0,0.0,2595.2345786914757,58.017789176877706,728.9578857421875,1218.4208984375,0.7164530931818848
3664,0.5504332485668019,0.0,3.221811491097172e-05,0.03423044445483692,0.04177220234913996,0.0,0.0,0.08397295681484404,0.25169922849501375,0.022523096396726585,0.0,0.0,0.0,0.0,0.0,0.015336604807725897,0.0,0.0,0.0,0.0,2592.0014408168827,57.666231180507005,727.5971069335938,1217.8369140625,0.7164524400891638
3665,0.5500001349042926,0.0,8.450000042567853e-05,0.03424918888828486,0.04179507661441399,0.0,0.0,0.08401894001855383,0.2518370578312249,0.021902408175982747,0.0,0.0,0.0,0.0,0.0,0.016112693566821452,0.0,0.0,0.0,0.0,2591.718187928848,57.41044138622974,728.1158447265625,1217.4130859375,0.7164510804734788
3666,0.5500006200809708,0.0,4.445701324942987e-06,0.03420592418352696,0.0417422796954576,0.0,0.0,0.0839128045230292,0.25151892895553957,0.022564438569011674,0.0,0.0,0.0,0.0,0.0,0.016050558291139144,0.0,0.0,0.0,0.0,2592.7575717931795,57.52156109756244,728.4907836914062,1217.59814453125,0.7164508960168519
3667,0.5501316691179096,0.0,0.00013813924468911984,0.03422892352366376,0.04177034632168441,0.0,0.0,0.08396922571845443,0.251688044965002,0.022474286446535603,0.0,0.0,0.0,0.0,0.0,0.015599364662061136,0.0,0.0,0.0,0.0,2592.257212795429,57.63050930289456,728.0333251953125,1217.7794189453125,0.7164508534936707
3668,0.55,0.0,6.624664379290528e-10,0.03419412825963944,0.04172788485696307,0.0,0.0,0.08388386716556942,0.2514321925724994,0.02278629655128888,0.0,0.0,0.0,0.0,0.0,0.015975629931573348,0.0,0.0,0.0,0.0,2593.071361011393,57.575373303644575,728.576171875,1217.687744140625,0.7164508224840824
3669,0.5500000086937803,0.0,6.715040786120578e-05,0.03414718978065292,0.04167060474642364,0.0,0.0,0.08376871929262579,0.2510870501375763,0.023921026514627172,0.0,0.0,0.0,0.0,0.0,0.015338250426452597,0.0,0.0,0.0,0.0,2594.511516891835,57.92543003358033,728.79296875,1218.2706298828125,0.7164503223612546
3670,0.550000000081727,0.0,4.240595691191808e-05,0.03421626975620511,0.04175490463685735,0.0,0.0,0.08393818392845509,0.25159500078875413,0.022432164489782264,0.0,0.0,0.0,0.0,0.0,0.016021070361307156,0.0,0.0,0.0,0.0,2592.5249417668942,57.5133231751268,728.395263671875,1217.5863037109375,0.7164493606363084
3671,0.55,0.0,3.552486137178575e-32,0.034244038829243255,0.04178879187836039,0.0,0.0,0.08400630606967055,0.2517991890302754,0.021854176573447088,0.0,0.0,0.0,0.0,0.0,0.016307497619003245,0.0,0.0,0.0,0.0,2591.759722311867,57.34129122104269,728.2017822265625,1217.301025390625,0.7164486373942918
