,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tm
15,0.00010787511947192359,9.029325672793433e-05,0.15290950686328575,4.962131074396901e-07,3.1316195171386737e-07,0.0001232737008322502,0.00010022745401318297,0.0005991236214052387,0.13861059664649095,3.4559457492146924e-06,0.0010260391741476228,0.005239860634955218,1.940108823877694e-05,0.0016129021777406569,2.589047042776378e-07,0.0017768392589142378,0.2150872361684017,5.774143743658418e-07,0.48269172319548764,0.0,2895.108059189473,67.63494286361728,533.9381482241831,1239.0385654884071
16,0.22850560322162083,0.16345012787541666,0.0009579659825832402,0.017469753362926183,2.337162462372278e-05,0.0232486765376625,2.5908335666180977e-05,1.8695594320034174e-07,0.003075396032507306,0.1721097865736084,0.04475960541688147,8.259937011298164e-05,1.3073856170935169e-06,3.167475131656011e-05,9.835291984761178e-06,0.0026415942429806245,3.8203185267133943e-05,1.6333686075163335e-06,0.3435667704846738,0.0,2839.529858217611,66.626993371631,525.0443698324393,1262.529546064342
17,0.42602831042561085,1.089168253746868e-06,0.20354418477028785,6.082977472400384e-08,5.093273241277515e-09,1.2089595169402628e-06,0.11248970901759434,0.23102454659693805,0.01849216806566635,7.413776720804782e-07,2.3489179977344445e-06,2.1783844301407856e-06,0.005191000421385922,0.001641576803450311,1.553704707402088e-09,0.0014889786330481176,3.062035597209091e-06,8.8757776194549e-05,7.11696031683666e-08,0.0,2499.8600174465446,76.23156719139266,538.2996118821992,1227.9277234582146
18,0.32354780710041164,1.1207339900220139e-05,0.1507921727068157,6.102296425725741e-06,4.553487059246146e-07,0.0006268985569663872,0.0039504137836804025,0.2950229554204188,0.13649032487474783,2.064012331567435e-06,0.05303070759759032,8.797166186180764e-09,0.022348914314611813,0.0010555331848444492,1.8899626496586803e-05,0.0004022521934723748,1.7229199351023247e-08,9.488255635629521e-06,0.012683777360579048,0.0,2664.1328736875817,66.03445678365844,538.8540818488821,1283.5320841306034
19,0.15170885351520547,0.0015643760184339847,0.15187735199381924,1.864351141474065e-05,0.04655257123208591,0.002064061588736673,0.005069097637705653,0.18719019175202795,0.14243844923127513,0.0008612772413332377,0.03142095053815182,0.0001774307725877857,0.0005540829461396359,0.0037552659251375215,0.0005578272909072509,6.112232571900726e-05,0.004636141590259771,0.00802026334825082,0.2614720415408083,0.0,2643.502677849373,81.76195003245094,504.776609735148,1299.6538739894986
20,0.13680471236779632,0.0002398724372261088,0.0922958541967444,1.5705145065481637e-05,0.06741516309233464,0.08175232345006622,0.031906471912344136,7.1987554497757645e-06,0.0011937643705476262,1.6767929913804577e-05,0.012788325562096362,0.0001390044950468255,0.00031164602439403514,0.020361820089018847,0.00020138240722633472,1.8817731974866095e-05,4.497558362358152e-06,0.018862878402177877,0.5356637940722141,0.0,2792.802916709001,78.7731772478005,568.1913746556302,1276.9625905125363
21,4.599532411141275e-07,0.19091017143113448,0.20883825053185653,0.06463483725742306,5.520217741580232e-06,9.983023067597718e-07,3.608499500628642e-06,0.20246366208486896,0.15463249540179297,0.11690521925449551,0.0004839276236213993,0.0010904410656469349,1.4978097544208502e-07,0.053624923544141084,0.0007708730514832923,2.446718828976835e-07,0.00012913321497820104,1.2758692225356409e-06,0.005503808243686745,0.0,2897.5124920610024,71.25558004620518,548.7778923602597,1294.670458018138
22,0.43898135252453224,0.013721464215423543,6.281028323958194e-06,2.3452788804776575e-05,0.31413909737970036,0.017124964532763066,0.0002801637875014737,0.000398671984452053,4.896088098410017e-05,0.021816191350044374,0.014192282343168624,2.7734691150144473e-05,1.754123962501388e-05,0.017505602311587883,9.98763491743067e-05,5.426635134670785e-06,2.5127008793703923e-06,6.261951390928432e-06,0.1616021613053591,0.0,2751.164046677826,85.95979435114472,596.9360590927809,1289.4185240518314
23,0.3471219757337167,0.47397871326444796,2.3128061518972757e-10,0.0013855010898331922,8.90752852708376e-06,0.09794734851279253,0.005231401743975762,0.026869074102895116,8.309821687248695e-08,0.01217798292390824,2.2514386882497895e-06,0.00015216290028031849,0.019818577375346723,0.013459269465007218,1.59017173565587e-06,2.240528092514524e-09,0.00036587448397811147,4.754928580909321e-08,0.0014792361455557887,0.0,2744.2367285094574,62.01559066974951,541.7442440305059,1208.0533923730613
24,0.5465510701177444,0.2465700092311357,1.9827003718630608e-06,0.00028391606502441077,1.8500886480854e-05,0.0008717014466588702,0.023751077012226975,8.63962126652807e-07,0.017357726808439247,0.026149740504231963,2.192080810453678e-05,1.005877096678675e-05,0.002028356779490896,0.00033938355520717127,0.054101205068458724,0.07328733985292687,1.327660903099987e-06,0.0007031531142223672,0.007950665655278582,0.0,2856.871306936926,89.19103131169211,510.0813121498106,1273.3623882357706
