,Unnamed: 0,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,rho,E,Tg,Tmelt,F
16,16,0.5000025824211823,0.0,0.0040057793616233,0.0006276633853142,7.494489221074085e-06,0.0,0.0,0.2462687874506004,0.1256715670645738,0.0103056637606311,0.0,0.0,0.0,0.0,0.0,0.1131104620668536,0.0,0.0,0.0,0.0,2701.9087302285257,48.90385033507798,668.0153053248499,1138.2249649721894,0.838253254094395
17,17,0.5001358365056889,0.0,0.0006500507431263,0.0033792374650406,0.0052204364071886,0.0,0.0,0.2581250528942646,0.1368564933907395,0.0403764809381063,0.0,0.0,0.0,0.0,0.0,0.055256411655845,0.0,0.0,0.0,0.0,2695.377478033689,50.1180645398132,616.0382194092072,1138.7319825496152,0.8377887254889212
18,18,0.5160069340622185,0.0,0.0079826939040448,0.0008994589780203,0.0005222979529226,0.0,0.0,0.1766150800362247,0.1832249189425521,0.0208025626697764,0.0,0.0,0.0,0.0,0.0,0.0939460534542402,0.0,0.0,0.0,0.0,2673.7358182086864,45.51065025705312,692.1686455256728,1142.2310749041512,0.8345828632777352
19,19,0.5003972269506856,0.0,0.0013220510774138,0.0875759818620337,0.000210034195967,0.0,0.0,0.2089944538454984,0.1684642102901178,0.0087623156067049,0.0,0.0,0.0,0.0,0.0,0.0242737261715785,0.0,0.0,0.0,0.0,2610.885372644655,53.4291657673968,637.0362336887115,1143.0799189149516,0.8338051539000766
20,20,0.5027036838564002,0.0,1.4016519908231529e-08,0.0316722488438869,0.016112135694902,0.0,0.0,0.2333291672990582,0.1878735021576016,0.0053312000417129,0.0,0.0,0.0,0.0,0.0,0.0229780480899181,0.0,0.0,0.0,0.0,2611.142055035103,48.20490797862146,608.2335736470128,1143.5255814936436,0.8333968386356578
21,21,0.5,0.0,3.0815471460345082e-59,1.1327447390261535e-14,1.399881792934384e-23,0.0,0.0,0.2818792516675424,0.0676594648376281,6.312763581023156e-42,0.0,0.0,0.0,0.0,0.0,0.150461283494818,0.0,0.0,0.0,0.0,2737.3154078839984,59.69200460646206,648.0829389395776,1143.975618012675,0.832984515974855
22,22,0.5003930991291156,0.0,0.0013145388835131,0.0067767853056826,0.0040075422007582,0.0,0.0,0.2476864979969354,0.1340160932148676,0.0019545231610947,0.0,0.0,0.0,0.0,0.0,0.1038509201080325,0.0,0.0,0.0,0.0,2683.84102285683,46.39108250655737,652.605402342577,1145.0600556318936,0.8319909561508811
23,23,0.5068263520265059,0.0,0.0010207355012745,0.0021238186770488,4.0164578101825853e-07,0.0,0.0,0.2562099060786613,0.1505688264516003,0.0011811979237887,0.0,0.0,0.0,0.0,0.0,0.0820687616953392,0.0,0.0,0.0,0.0,2657.484555416577,42.78887687329,606.2072490943217,1145.3637149420324,0.8317127440293329
24,24,0.5005522542172233,0.0,0.0008262109715051,0.0012633431729917,0.0105907891803618,0.0,0.0,0.2822183965583817,0.1672699389330384,0.0268003617530248,0.0,0.0,0.0,0.0,0.0,0.0104787052134729,0.0,0.0,0.0,0.0,2637.189416967855,52.147273996775766,588.8493239422937,1147.5279166551757,0.829729906256973
25,25,0.5131873225485973,0.0,1.1953886471566117e-15,0.0009815082735071,1.8279626862040557e-08,0.0,0.0,0.2367635062872335,0.1453776869297572,5.647806832424695e-07,0.0,0.0,0.0,0.0,0.0,0.1036893929005934,0.0,0.0,0.0,0.0,2672.39738571135,44.30364935849248,641.0474743174361,1147.6239036746788,0.8296419631198934
26,26,0.5000000000384164,0.0,0.002593407969223,0.0507836931561433,0.0001722068006558,0.0,0.0,0.2755761787696646,0.139519270710422,0.0281333657580175,0.0,0.0,0.0,0.0,0.0,0.0032218767974571,0.0,0.0,0.0,0.0,2627.469348728856,56.92989573003783,601.1471930423818,1148.8912079502793,0.8284808611895726
27,27,0.5000570190243139,0.0,5.055583208500228e-06,0.0155463374358949,0.0028406358372702,0.0,0.0,0.2625680519347424,0.1361790282212984,0.0214649624749616,0.0,0.0,0.0,0.0,0.0,0.06133890948831,0.0,0.0,0.0,0.0,2673.437379514736,48.12842539923641,615.6474848377705,1149.1051715249646,0.8282848281418125
